Nationality,nationality_coded,continent_coded,,,
Panamanian,1,1,,North_America,1
Malaysian,2,5,,South_America,2
Zambian,3,4,,Europe,3
Lithuanian,4,3,,Africa,4
Caymanian,5,1,,Asia,5
Burkinabe,6,4,,Oceania,6
Mexican,7,1,,NA,7
British,8,3,,,
Russian,9,3,,,
Kazakhstani,10,5,,,
Israeli,11,5,,,
Cuban,12,1,,,
Iranian,13,5,,,
Sudanese,14,4,,,
Paraguayan,15,2,,,
Filipino,16,5,,,
Samoan,17,6,,,
Zimbabwean,18,4,,,
Bulgarian,19,3,,,
Kosovar,20,3,,,
Haitian,21,1,,,
Finnish,22,3,,,
Jordanian,23,5,,,
Beninese,24,4,,,
Pakistani,25,5,,,
Estonian,26,3,,,
Indonesian,27,5,,,
Argentinean,28,2,,,
Ukrainian,29,3,,,
Swedish,30,3,,,
Hungarian,31,3,,,
Rwandan,32,4,,,
Dominican,33,1,,,
Indian,34,5,,,
Algerian,35,4,,,
Ugandan,36,4,,,
Liechtensteiner,37,3,,,
Bahraini,38,5,,,
Venezuelan,39,2,,,
Tunisian,40,4,,,
Uzbekistani,41,5,,,
Singaporean,42,5,,,
"Trinidadian, Tobagonian",43,1,,,
Austrian,44,3,,,
Dutch,45,3,,,
Moroccan,46,4,,,
Monacan,47,3,,,
"Antiguans, Barbudans",48,1,,,
Namibian,49,4,,,
Danish,50,3,,,
Nigerien,51,4,,,
Vietnamese,52,5,,,
Lebanese,53,5,,,
Albanian,54,3,,,
German,55,3,,,
Honduran,56,1,,,
Cypriot,57,3,,,
Uruguayan,58,2,,,
South African,59,4,,,
Latvian,60,3,,,
Guatemalan,61,1,,,
Jamaican,62,1,,,
Grenadian,63,1,,,
Swiss,64,3,,,
,65,7,,,
Hong Konger,66,5,,,
Slovakian,67,3,,,
Libyan,68,4,,,
Costa Rican,69,1,,,
Czech,70,3,,,
Ethiopian,71,4,,,
New Zealander,72,6,,,
Bolivian,73,2,,,
Chinese,74,5,,,
Turkish,75,3,,,
Angolan,76,4,,,
Portuguese,77,3,,,
Aruban,78,1,,,
Japanese,79,5,,,
Kenyan,80,4,,,
Moldovan,81,3,,,
Qatari,82,5,,,
Welsh,83,3,,,
Macedonian,84,3,,,
Greek,85,3,,,
French,86,3,,,
Brazilian,87,2,,,
Ghanaian,88,4,,,
Maltese,89,3,,,
Canadian,90,1,,,
American,91,1,,,
Taiwanese,92,5,,,
Tanzanian,93,4,,,
Egyptian,94,4,,,
Senegalese,95,4,,,
Icelander,96,3,,,
Bahamanian,97,1,,,
English,98,3,,,
Nigerian,99,4,,,
Nepalese,100,5,,,
Nicaraguan,101,1,,,
Salvadoran,102,1,,,
Kuwaiti,103,5,,,
Serbian,104,3,,,
Emirian,105,5,,,
Barbadian,106,1,,,
Norwegian,107,3,,,
Armenian,108,5,,,
Northern Irish,109,3,,,
Belgian,110,3,,,
Palestinian,111,5,,,
"Bosnian, Herzegovinian",112,3,,,
Cape Verdian,113,4,,,
Polish,114,3,,,
Somali,115,4,,,
Afghan,116,5,,,
Irish,117,3,,,
Spanish,118,3,,,
Guyanese,119,2,,,
Croatian,120,3,,,
Belarusian,121,3,,,
South Korean,122,5,,,
Slovenian,123,3,,,
Peruvian,124,2,,,
Ecuadorean,125,2,,,
Romanian,126,3,,,
Bangladeshi,127,5,,,
Azerbaijani,128,5,,,
Turks And Caicos Islander,129,1,,,
Georgian,130,5,,,
Scottish,131,3,,,
Puerto Rican,132,1,,,
Colombian,133,2,,,
Thai,134,5,,,
Australian,135,6,,,
Mauritian,136,4,,,
Mozambican,137,4,,,
Saudi Arabian,138,5,,,
Italian,139,3,,,
Ivorian,140,4,,,
Chilean,141,2,,,
Fijian,142,6,,,
