Nationality,nationality_coded,continent_coded
Panamanian,1,
Malaysian,2,
Zambian,3,
Lithuanian,4,
Caymanian,5,
Burkinabe,6,
Mexican,7,
British,8,
Russian,9,
Kazakhstani,10,
Israeli,11,
Cuban,12,
Iranian,13,
Sudanese,14,
Paraguayan,15,
Filipino,16,
Samoan,17,
Zimbabwean,18,
Bulgarian,19,
Kosovar,20,
Haitian,21,
Finnish,22,
Jordanian,23,
Beninese,24,
Pakistani,25,
Estonian,26,
Indonesian,27,
Argentinean,28,
Ukrainian,29,
Swedish,30,
Hungarian,31,
Rwandan,32,
Dominican,33,
Indian,34,
Algerian,35,
Ugandan,36,
Liechtensteiner,37,
Bahraini,38,
Venezuelan,39,
Tunisian,40,
Uzbekistani,41,
Singaporean,42,
"Trinidadian, Tobagonian",43,
Austrian,44,
Dutch,45,
Moroccan,46,
Monacan,47,
"Antiguans, Barbudans",48,
Namibian,49,
Danish,50,
Nigerien,51,
Vietnamese,52,
Lebanese,53,
Albanian,54,
German,55,
Honduran,56,
Cypriot,57,
Uruguayan,58,
South African,59,
Latvian,60,
Guatemalan,61,
Jamaican,62,
Grenadian,63,
Swiss,64,
NA,65,
Hong Konger,66,
Slovakian,67,
Libyan,68,
Costa Rican,69,
Czech,70,
Ethiopian,71,
New Zealander,72,
Bolivian,73,
Chinese,74,
Turkish,75,
Angolan,76,
Portuguese,77,
Aruban,78,
Japanese,79,
Kenyan,80,
Moldovan,81,
Qatari,82,
Welsh,83,
Macedonian,84,
Greek,85,
French,86,
Brazilian,87,
Ghanaian,88,
Maltese,89,
Canadian,90,
American,91,
Taiwanese,92,
Tanzanian,93,
Egyptian,94,
Senegalese,95,
Icelander,96,
Bahamanian,97,
English,98,
Nigerian,99,
Nepalese,100,
Nicaraguan,101,
Salvadoran,102,
Kuwaiti,103,
Serbian,104,
Emirian,105,
Barbadian,106,
Norwegian,107,
Armenian,108,
Northern Irish,109,
Belgian,110,
Palestinian,111,
"Bosnian, Herzegovinian",112,
Cape Verdian,113,
Polish,114,
Somali,115,
Afghan,116,
Irish,117,
Spanish,118,
Guyanese,119,
Croatian,120,
Belarusian,121,
South Korean,122,
Slovenian,123,
Peruvian,124,
Ecuadorean,125,
Romanian,126,
Bangladeshi,127,
Azerbaijani,128,
Turks And Caicos Islander,129,
Georgian,130,
Scottish,131,
Puerto Rican,132,
Colombian,133,
Thai,134,
Australian,135,
Mauritian,136,
Mozambican,137,
Saudi Arabian,138,
Italian,139,
Ivorian,140,
Chilean,141,
Fijian,142,
