Religion,religion_coded,rel_group_coded,,
NA,1,1,NA,1
Wiccan,2,9,Christian,2
Agnostic,3,8,Muslim,3
Presbyterian,4,2,Jewish,4
Scientology,5,9,Hindu,5
Cult,6,9,Buddhism,6
Congregationalist,7,2,Sikh,7
Bahai,8,9,Irreligion,8
Rastafarian,9,9,Other,9
Occult / Thelemite,10,9,,
Protestant,11,2,,
Christian Science,12,2,,
Roman Catholic,13,2,,
Unitarian,14,2,,
Jahovah's Witness,15,2,,
Buddhist,16,6,,
Polish Catholic,17,2,,
Christian,18,2,,
Baptist,19,2,,
Mormon,20,2,,
Jainist,21,9,,
Atheist,22,8,,
Sikh,23,7,,
Eastern Orthodox,24,2,,
Muslim,25,3,,
Other,26,9,,
Hindu,27,5,,
Lutheran,28,2,,
Methodist,29,2,,
Satanist,30,9,,
Jewish,31,4,,
Russian Orthodox,32,2,,
Evangelical,33,2,,
Greek Orthodox,34,2,,
Secular Humanist,35,8,,
Born-Again Christian,36,2,,
Anglican / Episcopalian,37,2,,
Deist,38,9,,
